"","Absent","Present","D_Estimate","Brownian_Prob","Random_Prob"
"Eskimo",21,1,3.24289747477899,0.216532,0.679592
"Hawaiian",6,16,-0.60046380470317,0.798625,0.004108
"Iroquois",18,4,-2.34261556665256,0.985336,5e-06
"Crow",21,1,0.245005135568881,0.419574,0.461861
