"","Absent","Present","D_Estimate","Brownian_Prob","Random_Prob"
"Eskimo",71,14,-0.495812447462232,0.806626,0.000119
"Hawaiian",37,48,0.65801782240247,0.05502,0.080015
"Iroquois",70,15,0.0920946094034789,0.470941,0.006772
"Omaha",84,1,2.83050791732257,0.233276,0.697035
"Sudanese",84,1,-2.06601527207829,0.712809,0.171215
"Crow",79,6,-0.1109634283187,0.600626,0.0366
